Time,Text
2024-03-06 23:15:43,Call to place market order to buy 1.1 shares of symbol BINANCE:BTCUSDT.P 
2024-03-06 23:15:37,Order 1209817349 successfully cancelled
2024-03-06 23:09:24,Order 1209824914 for symbol BINANCE:BTCUSDT.P has been executed at price 65727.7 for 0.05 shares
2024-03-06 23:09:24,Order 1209824914 successfully placed
2024-03-06 23:09:24,Call to place market order to sell 0.05 shares of symbol BINANCE:BTCUSDT.P 
2024-03-06 23:07:56,Order 1209817349 modification confirmed
2024-03-06 23:07:56,Modify position for symbol BINANCE:BTCUSDT.P with SL 66428.0
2024-03-06 23:07:47,Order 1209817349 successfully placed
2024-03-06 23:07:47,Modify position for symbol BINANCE:BTCUSDT.P with SL 66655.7
2024-03-06 23:07:43,Order 1209816918 for symbol BINANCE:BTCUSDT.P has been executed at price 65512.0 for 0.5 shares
2024-03-06 23:07:43,Order 1209816918 successfully placed
2024-03-06 23:07:42,Call to place market order to sell 0.5 shares of symbol BINANCE:BTCUSDT.P 
2024-03-06 23:04:09,Order 1209592657 for symbol BINANCE:BTCUSDT.P has been executed at price 65643.8 for 0.591 shares
2024-03-06 23:04:09,Order 1209608141 successfully cancelled
2024-03-06 22:10:38,Order 1209608141 successfully placed
2024-03-06 22:10:38,Order 1209592657 modification confirmed
2024-03-06 22:10:38,Modify position for symbol BINANCE:BTCUSDT.P with SL 65876.1 and TP 68485.9
2024-03-06 22:03:37,Order 1209592657 successfully placed
2024-03-06 22:03:37,Modify position for symbol BINANCE:BTCUSDT.P with SL 65876.1
2024-03-06 22:03:31,Order 1209592348 for symbol BINANCE:BTCUSDT.P has been executed at price 66752.5 for 0.591 shares
2024-03-06 22:03:31,Order 1209592348 successfully placed
2024-03-06 22:03:31,Call to place market order to buy 0.591 shares of symbol BINANCE:BTCUSDT.P 
2024-03-06 01:09:55,Order 1207633988 for symbol BINANCE:BTCUSDT.P has been executed at price 63942.8 for 0.5 shares
2024-03-06 01:09:55,Order 1207632588 successfully cancelled
2024-03-06 00:06:20,Order 1207633988 successfully placed
2024-03-06 00:06:20,Order 1207632588 modification confirmed
2024-03-06 00:06:20,Modify position for symbol BINANCE:BTCUSDT.P with SL 67718.7 and TP 63944.7
2024-03-06 00:05:59,Order 1207632588 successfully placed
2024-03-06 00:05:59,Modify position for symbol BINANCE:BTCUSDT.P with SL 67718.7
2024-03-06 00:05:52,Order 1207632168 for symbol BINANCE:BTCUSDT.P has been executed at price 66475.1 for 0.5 shares
2024-03-06 00:05:52,Order 1207632168 successfully placed
2024-03-06 00:05:52,Call to place market order to sell 0.5 shares of symbol BINANCE:BTCUSDT.P 
2024-03-06 00:00:00,Order 1207577707 for symbol BINANCE:BTCUSDT has been executed at price 66769.59 for 1 shares
2024-03-06 00:00:00,Order 1207577973 successfully cancelled
2024-03-05 23:57:48,Order 1207577973 modification confirmed
2024-03-05 23:57:48,Order 1207577707 modification confirmed
2024-03-05 23:57:48,Modify position for symbol BINANCE:BTCUSDT with SL 66798.23 and TP 68325.10
2024-03-05 23:49:25,Order 1207577973 successfully placed
2024-03-05 23:49:25,Order 1207577707 modification confirmed
2024-03-05 23:49:25,Modify position for symbol BINANCE:BTCUSDT with SL 66829.75 and TP 68325.10
2024-03-05 23:49:20,Order 1207577707 successfully placed
2024-03-05 23:49:20,Modify position for symbol BINANCE:BTCUSDT with SL 66829.75
2024-03-05 23:48:22,Order 1207574279 for symbol BINANCE:BTCUSDT has been executed at price 67330.00 for 1 shares
2024-03-05 23:48:22,Order 1207574279 successfully placed
2024-03-05 23:48:21,Call to place market order to buy 1 shares of symbol BINANCE:BTCUSDT 
2024-03-05 22:14:12,Order 1207109533 for symbol FOREXCOM:EURUSD has been executed at price 1.08516 for 900000 shares
2024-03-05 22:14:12,Order 1207110122 successfully cancelled
2024-03-05 21:47:26,Order 1207110122 successfully placed
2024-03-05 21:47:26,Order 1207109533 modification confirmed
2024-03-05 21:47:26,Modify position for symbol FOREXCOM:EURUSD with SL 1.08515 and TP 1.08335
2024-03-05 21:47:11,Order 1207109533 successfully placed
2024-03-05 21:47:11,Modify position for symbol FOREXCOM:EURUSD with SL 1.08515
2024-03-05 21:46:54,Order 1207108791 for symbol FOREXCOM:EURUSD has been executed at price 1.08455 for 900000 shares
2024-03-05 21:46:54,Order 1207108791 successfully placed
2024-03-05 21:46:54,Call to place market order to sell 900000 shares of symbol FOREXCOM:EURUSD 
2024-03-05 20:09:29,Order 1206701123 for symbol FOREXCOM:EURUSD has been executed at price 1.08472 for 1000000 shares
2024-03-05 20:09:29,Order 1206701247 successfully cancelled
2024-03-05 17:11:00,Order 1206701247 modification confirmed
2024-03-05 17:11:00,Order 1206701123 modification confirmed
2024-03-05 17:11:00,Modify position for symbol FOREXCOM:EURUSD with SL 1.08473 and TP 1.08623
2024-03-05 17:10:47,Order 1206701247 successfully placed
2024-03-05 17:10:47,Order 1206701123 modification confirmed
2024-03-05 17:10:47,Modify position for symbol FOREXCOM:EURUSD with SL 1.08473 and TP 1.08610
2024-03-05 17:10:42,Order 1206701123 successfully placed
2024-03-05 17:10:42,Modify position for symbol FOREXCOM:EURUSD with SL 1.08473
2024-03-05 17:10:37,Order 1206700998 for symbol FOREXCOM:EURUSD has been executed at price 1.08523 for 1000000 shares
2024-03-05 17:10:37,Order 1206700998 successfully placed
2024-03-05 17:10:37,Call to place market order to buy 1000000 shares of symbol FOREXCOM:EURUSD 
2024-03-05 17:05:36,Order 1206670349 for symbol FOREXCOM:EURUSD has been executed at price 1.08504 for 900000 shares
2024-03-05 17:05:36,Order 1206670798 successfully cancelled
2024-03-05 16:50:09,Order 1206670798 successfully placed
2024-03-05 16:50:09,Order 1206670349 modification confirmed
2024-03-05 16:50:09,Modify position for symbol FOREXCOM:EURUSD with SL 1.08504 and TP 1.08324
2024-03-05 16:49:54,Order 1206670349 successfully placed
2024-03-05 16:49:54,Modify position for symbol FOREXCOM:EURUSD with SL 1.08504
2024-03-05 16:49:48,Order 1206670215 for symbol FOREXCOM:EURUSD has been executed at price 1.08443 for 900000 shares
2024-03-05 16:49:48,Order 1206670215 successfully placed
2024-03-05 16:49:48,Call to place market order to sell 900000 shares of symbol FOREXCOM:EURUSD 
