Symbol,Side,Type,Qty,Limit Price,Stop Price,Fill Price,Status,Commission,Leverage,Margin,Placing Time,Closing Time,Order ID
FOREXCOM:EURUSD,Sell,Limit,600000,1.08183,,,Cancelled,,,,2024-02-28 18:03:53,2024-02-28 18:54:34,1195700499
FOREXCOM:EURUSD,Buy,Market,600000,,,1.0823,Filled,,500:1,"1,298.76 USD",2024-02-28 21:47:04,2024-02-28 21:47:04,1196046877
FOREXCOM:EURUSD,Sell,Stop,600000,,1.08139,,Cancelled,,,,2024-02-28 21:47:13,2024-02-28 22:37:04,1196047267
FOREXCOM:EURUSD,Sell,Limit,600000,1.08414,,,Cancelled,,,,2024-02-28 21:47:58,2024-02-28 22:37:04,1196049125
FOREXCOM:EURUSD,Sell,Market,600000,,,1.08249,Filled,,500:1,"1,298.99 USD",2024-02-28 22:37:04,2024-02-28 22:37:04,1196183770
BINANCE:BTCUSDT.P,Sell,Market,1,,,62958.8,Filled,,500:1,125.88 USD,2024-02-29 22:46:22,2024-02-29 22:46:22,1198421139
BINANCE:BTCUSDT.P,Buy,Stop,1,,63458.4,,Cancelled,,,,2024-02-29 22:46:27,2024-03-01 00:40:17,1198421463
BINANCE:BTCUSDT.P,Buy,Limit,1,61954.6,,61930.9,Filled,,,,2024-02-29 22:46:42,2024-03-01 00:40:17,1198422539
FOREXCOM:EURUSD,Buy,Market,800000,,,1.08163,Filled,,500:1,"1,730.61 USD",2024-03-01 17:56:02,2024-03-01 17:56:02,1200032589
FOREXCOM:EURUSD,Sell,Stop,800000,,1.08096,1.08096,Filled,,,,2024-03-01 17:56:34,2024-03-01 18:12:11,1200033399
FOREXCOM:EURUSD,Sell,Limit,800000,1.08309,,,Cancelled,,,,2024-03-01 17:56:39,2024-03-01 18:12:11,1200033515
BINANCE:BTCUSDT.P,Sell,Market,1.35,,,62210,Filled,,500:1,167.91 USD,2024-03-02 03:11:33,2024-03-02 03:11:33,1201417526
BINANCE:BTCUSDT.P,Buy,Stop,1.35,,62559.4,62555.1,Filled,,,,2024-03-02 03:11:43,2024-03-02 04:28:54,1201417810
BINANCE:BTCUSDT.P,Buy,Limit,1.35,61479.8,,,Cancelled,,,,2024-03-02 03:12:00,2024-03-02 04:28:54,1201418503
FOREXCOM:EURUSD,Buy,Market,800000,,,1.08488,Filled,,500:1,"1,735.81 USD",2024-03-04 21:58:26,2024-03-04 21:58:26,1204802580
FOREXCOM:EURUSD,Sell,Stop,800000,,1.08429,,Cancelled,,,,2024-03-04 21:58:31,2024-03-04 22:52:50,1204802849
